room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
15398085,1556,88484249,Shared room,,Montreal,,Montréal-Nord,2,0.0,1,1.0,,25.0,,2017-08-10 12:15:53.314703,45.583731,-73.631088,0101000020E61000007A39ECBE636852C0A85489B2B7CA4640
14837504,1556,90355155,Shared room,,Montreal,,Mercier-Hochelaga-Maisonneuve,10,4.5,2,1.0,,12.0,,2017-08-10 12:15:53.310742,45.542096,-73.551231,0101000020E6100000A662635E476352C06EA5D76663C54640
18489217,1556,101323007,Shared room,,Montreal,,Côte-des-Neiges-Notre-Dame-de-Grâce,0,0.0,2,1.0,,21.0,,2017-08-10 12:15:53.306768,45.488703,-73.642268,0101000020E61000001CD13DEB1A6952C0823AE5D18DBE4640
7588811,1556,33234385,Shared room,,Montreal,,Villeray-Saint-Michel-Parc-Extension,5,5.0,2,1.0,,21.0,,2017-08-10 12:15:53.302982,45.542539,-73.630243,0101000020E61000001B62BCE6556852C0FBE6FEEA71C54640
9930596,1556,51047461,Shared room,,Montreal,,Le Sud-Ouest,25,4.5,1,1.0,,24.0,,2017-08-10 12:15:53.299839,45.483869,-73.578962,0101000020E61000001DE8A1B60D6552C02C465D6BEFBD4640
19953490,1556,128394836,Shared room,,Montreal,,Ville-Marie,0,0.0,1,1.0,,18.0,,2017-08-10 12:15:53.296415,45.527889,-73.547946,0101000020E6100000567E198C116352C08675E3DD91C34640
9598790,1556,30179788,Shared room,,Montreal,,Verdun,20,4.5,3,1.0,,15.0,,2017-08-10 12:15:53.293188,45.463226,-73.571601,0101000020E610000019575C1C956452C0155454FD4ABB4640
19933433,1556,122905553,Shared room,,Montreal,,Verdun,0,0.0,2,1.0,,25.0,,2017-08-10 12:15:53.290976,45.462716,-73.57813,0101000020E610000089B5F814006552C000AB23473ABB4640
7956781,1556,455835,Shared room,,Montreal,,Rosemont-La Petite-Patrie,2,0.0,1,1.0,,18.0,,2017-08-10 12:15:53.288208,45.538269,-73.596258,0101000020E61000009E7E5017296652C0AEB9A3FFE5C44640
16612938,1556,109646890,Shared room,,Montreal,,Le Sud-Ouest,1,0.0,1,1.0,,21.0,,2017-08-10 12:15:53.285223,45.4482,-73.593915,0101000020E6100000A5660FB4026652C09A081B9E5EB94640
604189,1556,2990575,Shared room,,Montreal,,Le Plateau-Mont-Royal,128,4.5,15,1.0,,20.0,,2017-08-10 12:15:53.281666,45.517111,-73.577051,0101000020E6100000F1475167EE6452C070B378B130C24640
16880731,1556,43004068,Shared room,,Montreal,,Le Plateau-Mont-Royal,37,4.5,2,1.0,,18.0,,2017-08-10 12:15:51.090153,45.509405,-73.574655,0101000020E6100000E8DEC325C76452C09EB5DB2E34C14640
19096240,1556,41270538,Shared room,,Montreal,,Le Plateau-Mont-Royal,2,0.0,2,1.0,,31.0,,2017-08-10 12:15:51.087867,45.525862,-73.574857,0101000020E61000001BB80375CA6452C0C51A2E724FC34640
13989101,1556,532616,Shared room,,Montreal,,Ville-Marie,25,4.5,4,1.0,,12.0,,2017-08-10 12:15:51.084811,45.495701,-73.576783,0101000020E6100000E2783E03EA6452C018CC5F2173BF4640
17939712,1556,32507290,Shared room,,Montreal,,Le Plateau-Mont-Royal,5,5.0,1,1.0,,21.0,,2017-08-10 12:15:51.082295,45.523989,-73.578595,0101000020E610000044A852B3076552C05C3B511212C34640
19769492,1556,72008548,Shared room,,Montreal,,Villeray-Saint-Michel-Parc-Extension,1,0.0,1,1.0,,12.0,,2017-08-10 12:15:51.079914,45.542612,-73.625354,0101000020E61000000F9BC8CC056852C065355D4F74C54640
12252144,1556,17453167,Shared room,,Montreal,,Villeray-Saint-Michel-Parc-Extension,24,5.0,2,1.0,,15.0,,2017-08-10 12:15:51.077732,45.549771,-73.619218,0101000020E61000000DC68844A16752C005A568E55EC64640
20033869,1556,142290705,Shared room,,Montreal,,Rosemont-La Petite-Patrie,0,0.0,2,1.0,,14.0,,2017-08-10 12:15:51.075425,45.537616,-73.606922,0101000020E6100000444E5FCFD76652C036E7E099D0C44640
20147872,1556,143328551,Shared room,,Montreal,,Ville-Marie,0,0.0,1,1.0,,13.0,,2017-08-10 12:15:51.072452,45.516845,-73.560654,0101000020E6100000C89750C1E16352C0F20C1AFA27C24640
15841951,1556,15669262,Shared room,,Montreal,,Rosemont-La Petite-Patrie,31,5.0,2,1.0,,26.0,,2017-08-10 12:15:51.068085,45.546686,-73.599788,0101000020E6100000212235ED626652C02D978DCEF9C54640
4549028,1556,4238907,Shared room,,Montreal,,Ville-Marie,11,4.5,1,1.0,,21.0,,2017-08-10 12:15:51.065360,45.501365,-73.55557,0101000020E6100000E12879758E6352C0F52D73BA2CC04640
20364058,1556,145257117,Shared room,,Montreal,,Lachine,0,0.0,2,1.0,,16.0,,2017-08-10 12:15:51.063153,45.441529,-73.677401,0101000020E6100000C651B9895A6B52C0289EB30584B84640
10205428,1556,14205006,Shared room,,Montreal,,Côte-des-Neiges-Notre-Dame-de-Grâce,13,5.0,2,1.0,,22.0,,2017-08-10 12:15:51.060994,45.496916,-73.622575,0101000020E6100000A913D044D86752C0F86D88F19ABF4640
18255620,1556,41096002,Shared room,,Montreal,,Ville-Marie,19,5.0,2,1.0,,14.0,,2017-08-10 12:15:51.058550,45.488646,-73.579765,0101000020E61000006397A8DE1A6552C01EA9BEF38BBE4640
17795770,1556,89026826,Shared room,,Montreal,,Le Plateau-Mont-Royal,7,5.0,1,1.0,,25.0,,2017-08-10 12:15:51.056223,45.507306,-73.577191,0101000020E6100000EA2285B2F06452C044882B67EFC04640
19228123,1556,124589452,Shared room,,Montreal,,Le Plateau-Mont-Royal,7,5.0,3,1.0,,25.0,,2017-08-10 12:15:51.053920,45.526362,-73.608329,0101000020E6100000560DC2DCEE6652C0B7ED7BD45FC34640
20188246,1556,138846933,Shared room,,Montreal,,Ville-Marie,2,0.0,2,1.0,,25.0,,2017-08-10 12:15:51.047639,45.493588,-73.582511,0101000020E6100000DBA337DC476552C05AD93EE42DBF4640
13622999,1556,78484868,Shared room,,Montreal,,Côte-des-Neiges-Notre-Dame-de-Grâce,54,4.5,1,1.0,,16.0,,2017-08-10 12:15:51.045053,45.499057,-73.621298,0101000020E61000007EC4AF58C36752C081EB8A19E1BF4640
19997559,1556,132218343,Shared room,,Montreal,,Rosemont-La Petite-Patrie,0,0.0,3,1.0,,16.0,,2017-08-10 12:15:51.042342,45.571052,-73.573964,0101000020E6100000354580D3BB6452C05F28603B18C94640
16338885,1556,73995257,Entire home/apt,,Montreal,,Le Plateau-Mont-Royal,0,0.0,16,0.0,,4057.0,,2017-08-10 12:15:19.254452,45.522013,-73.576943,0101000020E6100000FE2955A2EC6452C01E8B6D52D1C24640
12322233,1556,66478859,Entire home/apt,,Montreal,,L'Île-Bizard-Sainte-Geneviève,0,0.0,8,3.0,,1623.0,,2017-08-10 12:12:17.734278,45.502584,-73.911887,0101000020E610000071A94A5B5C7A52C016BF29AC54C04640
7220009,1556,27732632,Entire home/apt,,Montreal,,Le Sud-Ouest,0,0.0,16,0.0,,1298.0,,2017-08-10 12:12:17.079443,45.497241,-73.559108,0101000020E6100000A5BBEB6CC86352C07C9DD497A5BF4640
1996334,1556,9588107,Entire home/apt,,Montreal,,Côte-des-Neiges-Notre-Dame-de-Grâce,12,4.0,6,1.0,,528.0,,2017-08-10 12:10:51.549542,45.495407,-73.6086,0101000020E61000001E166A4DF36652C0D09A1F7F69BF4640
